trial,owner,repo,api_type,response_time_ms,response_size_bytes,http_status
1,facebook,react,REST,690.076,6035,200
1,facebook,react,GraphQL,379.769,249,200
1,vuejs,vue,GraphQL,374.212,274,200
1,vuejs,vue,REST,403.36,5949,200
1,microsoft,vscode,REST,618.335,6517,200
1,microsoft,vscode,GraphQL,447.52,223,200
1,torvalds,linux,GraphQL,376.486,215,200
1,torvalds,linux,REST,447.628,5079,200
1,tensorflow,tensorflow,REST,498.924,6822,200
1,tensorflow,tensorflow,GraphQL,390.227,254,200
1,twbs,bootstrap,REST,424.116,6205,200
1,twbs,bootstrap,GraphQL,705.466,312,200
1,ohmyzsh,ohmyzsh,GraphQL,388.258,544,200
1,ohmyzsh,ohmyzsh,REST,571.674,6661,200
1,angular,angular,REST,630.878,6473,200
1,angular,angular,GraphQL,421.605,241,200
1,golang,go,GraphQL,482.085,219,200
1,golang,go,REST,499.85,6125,200
1,kubernetes,kubernetes,REST,457.945,6600,200
1,kubernetes,kubernetes,GraphQL,423.794,252,200
1,nodejs,node,REST,457.85,6037,200
1,nodejs,node,GraphQL,454.282,243,200
1,django,django,REST,449.669,6209,200
1,django,django,GraphQL,401.82,248,200
1,rails,rails,REST,529.939,5969,200
1,rails,rails,GraphQL,425.835,208,200
1,laravel,laravel,REST,410.648,6228,200
1,laravel,laravel,GraphQL,401.326,387,200
1,flutter,flutter,GraphQL,568.476,276,200
1,flutter,flutter,REST,491.998,6655,200
1,denoland,deno,GraphQL,469.599,242,200
1,denoland,deno,REST,472.996,6161,200
1,rust-lang,rust,REST,466.538,6264,200
1,rust-lang,rust,GraphQL,409.624,258,200
1,apple,swift,REST,770.458,6249,200
1,apple,swift,GraphQL,525.391,227,200
1,libp2p,go-libp2p,GraphQL,377.801,222,200
1,libp2p,go-libp2p,REST,414.066,6195,200
1,python,cpython,REST,492.179,6080,200
1,python,cpython,GraphQL,369.069,231,200
2,facebook,react,GraphQL,483.855,249,200
2,facebook,react,REST,775.888,6035,200
2,vuejs,vue,GraphQL,379.084,274,200
2,vuejs,vue,REST,452.179,5949,200
2,microsoft,vscode,REST,606.902,6517,200
2,microsoft,vscode,GraphQL,527.32,223,200
2,torvalds,linux,REST,384.811,5079,200
2,torvalds,linux,GraphQL,464.151,215,200
